Player,Tm,Age,Pos,G,GS,FGA0_19,FGM0_19,FGA20_29,FGM20_29,FGA30_39,FGM30_39,FGA40_49,FGM40_49,FGA50plus,FGM50plus,FGA,FGM,LngFG,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,LngPnt,Blck,Y/P
Johnny Hekker,LAR,31,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,51,2252,59,0,44.2
Andy Lee,ARI,39,p,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,51,2501,62,0,49.0
Jake Bailey,NWE,24,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,90,5706,42,46.7,63.4,49,2316,71,3,47.3
Dustin Colquitt,2TM,39,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,48,2134,66,1,44.5
Brett Kern,TEN,35,p,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,47,2105,59,0,44.8
Ty Long,LAC,28,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,46,2091,69,1,45.5
Thomas Morstead,2TM,35,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,45,2123,64,0,47.2
Jamie Gillan,CLE,24,p,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,42,1842,65,0,43.9
Braden Mann,NYJ,24,p,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,22,1426,20,90.9,64.8,41,1875,63,1,45.7
Lac Edwards,CAR,29,p,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,38,1821,62,1,47.9
Tommy Townsend,KAN,25,p,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,37,1746,68,0,47.2
Joseph Charlton,2TM,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,24,973,57,0,40.5
Cameron Nizialek,ATL,26,p,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,15,946,6,40.0,63.1,18,817,62,0,45.4
Ryan Winslow,3TM,27,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2,130,0,0.0,65.0,16,625,46,0,39.1
Johnny Townsend,2TM,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,13,556,63,0,42.8
Corliss Waitman,PIT,26,p,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,7,365,63,0,52.1
Sterling Hofrichter,TAM,25,p,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,14,894,6,42.9,63.9,6,227,45,0,37.8
JK Scott,JAX,26,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,4,159,47,0,39.8
Alex Kessman,NYJ,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0.0,4,246,1,25.0,61.5,0,0,0,0,0.0
Cody Parkey,NOR,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,60.0,3,195,1,33.3,65.0,0,0,0,0,0.0
